gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,revenue_per_tenure
0,0,1,0,-1.2774445836787656,0,1,1,-1.1603229160349193,-0.9942419353101233,0,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,-0.7579794568177897
1,0,0,0,0.06632741908223598,1,0,0,-0.2596289419448806,-0.17324412574959375,0,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,-0.11780140549332858
1,0,0,0,-1.2367242199587352,1,0,1,-0.3626603559551803,-0.9596740712020441,1,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,-0.41175533927329044
1,0,0,0,0.5142514200025698,0,1,0,-0.7465354629935549,-0.19476626336477718,0,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,-0.3467503583152315
0,0,0,0,-1.2367242199587352,1,0,1,0.19736523310080326,-0.9404697022531111,1,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,-0.1741103828522141
0,0,0,0,-0.9924020376385531,1,2,1,1.1595456961969886,-0.6451859741727949,1,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,0.4915686502491227
1,0,0,1,-0.4223169455581282,1,2,1,0.8089065291619363,-0.14679948896704018,0,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,0.3865108149417343
0,0,0,0,-0.9109613101984924,0,1,0,-1.1636465100352518,-0.8741373704237511,0,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,-0.5527778792435405
0,0,1,0,-0.1779947632379461,1,2,1,1.330710787214099,0.3373492744317471,1,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,0.7188808077326676
1,0,0,1,1.2064976032430856,1,0,0,-0.28621769394753876,0.5324391741681479,0,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,-0.09520757466117702
1,0,1,1,-0.7888002190384014,1,0,1,-0.4922805219681379,-0.7480728289670203,0,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,-0.3148828262494281
